gene	TMEI	TMEII	TMEIII	TMEIV
HIVEP2	3.832752613	1.045296167	1.742160279	1.393728223
LYST	3.832752613	1.045296167	1.393728223	2.090592334
RNF43	-3.832752613	-1.045296167	-1.742160279	-1.045296167
ABCA10	3.135888502	0.696864111	2.43902439	0.348432056
C3	3.135888502	0.696864111	0.348432056	1.045296167
CNTLN	3.135888502	0.696864111	2.090592334	1.393728223
GRIK2	3.135888502	0.696864111	0	0.696864111
HDLBP	3.135888502	0.696864111	2.090592334	1.742160279
MAGI2	3.135888502	0.696864111	1.393728223	0.696864111
PCDH11X	3.135888502	0.696864111	3.135888502	1.045296167
PCNXL2	3.135888502	0.696864111	1.393728223	1.393728223
PTEN	-3.135888502	-0.696864111	-2.090592334	-1.393728223
RAI1	3.135888502	0.696864111	1.393728223	0.696864111
TNS1	3.135888502	0.696864111	1.393728223	0.348432056
ACAP2	1.742160279	0	0	0.348432056
ACSS1	1.742160279	0	1.045296167	1.045296167
AFF4	1.742160279	0	0.348432056	0.348432056
AHI1	1.742160279	0	0.348432056	0.348432056
ALDH18A1	1.742160279	0	0	0.348432056
ALDH8A1	1.742160279	0	0.348432056	0
ALPK1	1.742160279	0	1.045296167	0.348432056
AOC2	1.742160279	0	0	0.696864111
ARHGAP28	1.742160279	0	0.348432056	1.045296167
ATP8A2	1.742160279	0	1.045296167	0.696864111
B2M	-1.742160279	0	-1.045296167	0
BOC	1.742160279	0	1.045296167	0.696864111
BPIFB4	1.742160279	0	0	0.348432056
BTBD16	1.742160279	0	0	0.348432056
C1QTNF1	1.742160279	0	0.348432056	0.348432056
CAMSAP1	1.742160279	0	1.742160279	0.348432056
CCNT1	1.742160279	0	0.348432056	0.348432056
CDX4	1.742160279	0	0	0.348432056
CECR2	1.742160279	0	1.045296167	0.348432056
CHST8	1.742160279	0	0.696864111	0.696864111
CNKSR2	1.742160279	0	1.045296167	0
CPXCR1	1.742160279	0	0.696864111	0.696864111
CSF2RB	1.742160279	0	0	0.348432056
CTSC	1.742160279	0	0.696864111	0.348432056
DAAM1	1.742160279	0	0.348432056	0.696864111
DRG2	1.742160279	0	0.348432056	0.348432056
DVL1	1.742160279	0	0.348432056	0.348432056
EPHA1	1.742160279	0	1.742160279	0.348432056
FAM188B	1.742160279	0	0.696864111	0.348432056
FBXO18	1.742160279	0	0.348432056	0.348432056
FOXG1	1.742160279	0	0.348432056	0.696864111
GABRD	1.742160279	0	0.696864111	0.348432056
GPSM2	1.742160279	0	0	0.348432056
GRIN2C	1.742160279	0	0	0
GTPBP3	1.742160279	0	0.696864111	0
HAPLN3	1.742160279	0	0	0
IL1RAPL1	1.742160279	0	0.696864111	0.696864111
ITGA2B	1.742160279	0	0.696864111	1.045296167
KCNJ4	1.742160279	0	0.348432056	0.348432056
LLGL1	-1.742160279	0	-0.348432056	0
LRRC49	1.742160279	0	0.348432056	0
LTBP3	1.742160279	0	0.348432056	0.348432056
MCF2L	1.742160279	0	1.045296167	0.348432056
MICU2	1.742160279	0	0.348432056	0
MSL3	1.742160279	0	0.696864111	0.696864111
MTL5	1.742160279	0	0.348432056	1.045296167
MYBPC2	1.742160279	0	0.696864111	0
MYH6	1.742160279	0	1.045296167	1.045296167
NEK8	1.742160279	0	0.696864111	0.696864111
NELFE	0	1.742160279	#N/A	#N/A
NEU3	1.742160279	0	0	0
NR3C1	1.742160279	0	0.348432056	0.696864111
NRF1	1.742160279	0	0.348432056	0.348432056
OR5T3	1.742160279	0	0.348432056	0.696864111
PAPOLB	1.742160279	0	0	0.348432056
PASD1	1.742160279	0	1.393728223	0.348432056
PBXIP1	0	1.742160279	#N/A	#N/A
PCDHB9	1.742160279	0	0.348432056	0.348432056
PHYKPL	1.742160279	0	0	0
PRCC	1.742160279	0	0.348432056	0.348432056
PROS1	1.742160279	0	0.696864111	0.348432056
QSOX2	1.742160279	0	0	0.348432056
RAPGEF1	1.742160279	0	0.696864111	0.348432056
RAVER2	1.742160279	0	0.348432056	0.696864111
RGS11	0	1.742160279	#N/A	#N/A
RIPK4	1.742160279	0	0.696864111	0.348432056
RNF157	1.742160279	0	0	0
ROCK1	1.742160279	0	1.045296167	1.045296167
SESN3	1.742160279	0	0	0
SF3B2	1.742160279	0	1.045296167	0.348432056
SGOL2	1.742160279	0	0.348432056	0.696864111
SGSM1	1.742160279	0	0.696864111	1.045296167
SH3KBP1	1.742160279	0	0.696864111	1.045296167
SHROOM3	1.742160279	0	0.696864111	1.393728223
SLC23A2	1.742160279	0	1.393728223	0
SLC26A7	1.742160279	0	1.045296167	0.348432056
SLC4A4	1.742160279	0	0	1.393728223
SMC6	1.742160279	0	0	0.348432056
SORCS2	1.742160279	0	0.348432056	0.348432056
SRPR	1.742160279	0	0	0.696864111
STYK1	1.742160279	0	0	0
SUV420H2	1.742160279	0	0	0
TACR3	1.742160279	0	0.348432056	0.696864111
TANC1	1.742160279	0	1.742160279	1.393728223
TAP2	1.742160279	0	0.696864111	0
TGDS	1.742160279	0	0	0
TM9SF2	1.742160279	0	0.348432056	0.348432056
TMC5	1.742160279	0	1.045296167	0.348432056
TRAPPC10	1.742160279	0	0.348432056	0.696864111
TRIM45	1.742160279	0	0.348432056	0
TRIP4	1.742160279	0	1.045296167	0.348432056
TRPC7	1.742160279	0	1.045296167	0.696864111
UPF2	1.742160279	0	1.742160279	0
WASF2	1.742160279	0	0.348432056	0.348432056
WDR63	1.742160279	0	0.348432056	0.348432056
ZFP37	1.742160279	0	0	0.696864111
ZMIZ1	1.742160279	0	0.696864111	0.696864111
ZNF211	1.742160279	0	0	0
ZNF287	1.742160279	0	0	0.696864111
ZNF366	1.742160279	0	0.696864111	0.696864111
ZNF442	1.742160279	0	0.348432056	0.348432056
DNAH5	6.620209059	3.135888502	4.87804878	4.181184669
ADAMTS12	4.181184669	1.393728223	2.090592334	0.696864111
BIRC6	4.181184669	1.393728223	1.045296167	0.696864111
CDH9	4.181184669	1.393728223	0.696864111	1.045296167
CELSR3	4.181184669	1.393728223	2.43902439	1.393728223
DNAH10	4.181184669	1.393728223	2.090592334	0.696864111
DYNC1H1	4.181184669	1.393728223	1.742160279	1.045296167
NIPBL	-4.181184669	-1.393728223	-2.43902439	-1.045296167
PCDH19	4.181184669	1.393728223	0.696864111	1.045296167
PKD1	4.181184669	1.393728223	0.348432056	0.696864111
PKHD1	4.181184669	1.393728223	1.742160279	1.393728223
RANBP2	4.181184669	1.393728223	1.742160279	1.393728223
TRRAP	4.181184669	1.393728223	3.484320557	1.742160279
ADGRA2	2.43902439	0.348432056	0.348432056	0.348432056
AHCTF1	2.43902439	0.348432056	1.393728223	0.348432056
ARID1B	2.43902439	0.348432056	2.090592334	0.696864111
ASCC3	2.43902439	0.348432056	3.135888502	1.045296167
CAMSAP2	2.43902439	0.348432056	1.045296167	0.348432056
CCDC178	2.43902439	0.348432056	1.045296167	1.045296167
CEP350	2.43902439	0.348432056	0.696864111	1.045296167
DENND5A	2.43902439	0.348432056	0	0.348432056
EFNB3	2.43902439	0.348432056	0.348432056	0
ESRRG	2.43902439	0.348432056	0.696864111	0.348432056
FRMPD2	2.43902439	0.348432056	0.696864111	0.696864111
HERC5	2.43902439	0.348432056	1.393728223	0.348432056
KANK4	2.43902439	0.348432056	1.045296167	0.696864111
LAMB1	2.43902439	0.348432056	0.696864111	0.348432056
MAG	2.43902439	0.348432056	0.696864111	0
MTIF2	2.43902439	0.348432056	0.348432056	0
PAX6	2.43902439	0.348432056	0.696864111	0.348432056
PCDHB12	2.43902439	0.348432056	1.742160279	0.696864111
PIGR	0.348432056	2.43902439	#N/A	#N/A
PLEKHG1	2.43902439	0.348432056	0.696864111	1.045296167
SCAF1	2.43902439	0.348432056	0	0.348432056
SEC16A	2.43902439	0.348432056	1.393728223	0.696864111
SLC1A6	2.43902439	0.348432056	0.348432056	0.348432056
SLC6A15	2.43902439	0.348432056	0.696864111	0.348432056
SLC8A2	2.43902439	0.348432056	1.393728223	0.696864111
SNX29	2.43902439	0.348432056	0.696864111	0.348432056
SPTAN1	-2.43902439	-0.348432056	0	-0.696864111
TBC1D32	2.43902439	0.348432056	1.045296167	0.348432056
TRPM6	2.43902439	0.348432056	1.393728223	1.393728223
ZNF236	2.43902439	0.348432056	2.787456446	1.393728223
MUC5B	5.574912892	2.43902439	1.045296167	2.090592334
LAMA2	4.529616725	1.742160279	1.393728223	1.393728223
PLXNA4	4.529616725	1.742160279	2.090592334	1.045296167
ZNF462	4.529616725	1.742160279	1.742160279	1.045296167
ALMS1	3.484320557	1.045296167	2.090592334	1.045296167
HSPG2	3.484320557	1.045296167	1.742160279	0.696864111
PBRM1	-3.484320557	-1.045296167	-1.045296167	-0.696864111
PCDH20	3.484320557	1.045296167	1.393728223	1.045296167
NBEA	5.923344948	2.787456446	2.787456446	1.742160279
MACF1	4.87804878	2.090592334	2.090592334	0.696864111
AKAP12	2.787456446	0.696864111	0.348432056	1.742160279
ANKRD26	2.787456446	0.696864111	0	0.348432056
ARFGEF1	2.787456446	0.696864111	2.787456446	0.348432056
ASH1L	2.787456446	0.696864111	2.787456446	2.43902439
BTAF1	2.787456446	0.696864111	1.045296167	0.348432056
BTBD11	2.787456446	0.696864111	2.787456446	0.348432056
CCAR2	2.787456446	0.696864111	1.742160279	0.348432056
CPAMD8	2.787456446	0.696864111	1.045296167	3.135888502
FIGN	2.787456446	0.696864111	1.393728223	0.696864111
FSTL4	2.787456446	0.696864111	0.348432056	0
GRM3	2.787456446	0.696864111	0.696864111	2.090592334
ITGB4	2.787456446	0.696864111	1.742160279	0
KCNH1	2.787456446	0.696864111	1.742160279	0.348432056
KIAA1462	2.787456446	0.696864111	2.090592334	1.045296167
KIAA2018	2.787456446	0.696864111	0.696864111	0.348432056
MTUS2	2.787456446	0.696864111	0.696864111	0.696864111
NBAS	2.787456446	0.696864111	1.045296167	0.696864111
NCAN	2.787456446	0.696864111	1.045296167	0.348432056
NOTCH1	-2.787456446	-0.696864111	-1.393728223	-0.348432056
PCDHB5	2.787456446	0.696864111	1.393728223	0.696864111
PCDHGA8	2.787456446	0.696864111	1.045296167	1.045296167
PHF3	2.787456446	0.696864111	0.348432056	1.045296167
PLEKHH2	2.787456446	0.696864111	0.348432056	0
PRAMEF15	0.696864111	2.787456446	#N/A	#N/A
PTPN13	2.787456446	0.696864111	1.045296167	2.090592334
RASA1	-2.787456446	-0.696864111	-0.696864111	-0.348432056
RIF1	2.787456446	0.696864111	1.742160279	1.393728223
SMARCA2	2.787456446	0.696864111	1.045296167	0.696864111
SPECC1	2.787456446	0.696864111	2.090592334	0.696864111
ST8SIA6	2.787456446	0.696864111	1.393728223	0.348432056
TLR4	2.787456446	0.696864111	1.393728223	1.742160279
ZCCHC11	2.787456446	0.696864111	1.393728223	0.696864111
CELSR1	3.832752613	1.393728223	1.045296167	1.045296167
DNAH3	3.832752613	1.393728223	3.832752613	0.696864111
NALCN	3.832752613	1.393728223	2.43902439	1.742160279
SLITRK1	3.832752613	1.393728223	2.090592334	0.696864111
MDN1	5.226480836	2.43902439	4.181184669	1.045296167
AARS2	2.090592334	0.348432056	0.348432056	0.696864111
ABCC12	2.090592334	0.348432056	1.045296167	0.696864111
ABCF3	2.090592334	0.348432056	0	0.348432056
ACCSL	2.090592334	0.348432056	0.696864111	0.348432056
ADAMTS13	2.090592334	0.348432056	1.393728223	0
AK9	2.090592334	0.348432056	1.045296167	0.348432056
AP3M2	2.090592334	0.348432056	1.045296167	0.348432056
ARHGEF10	2.090592334	0.348432056	1.393728223	0.696864111
AUTS2	2.090592334	0.348432056	0.696864111	1.045296167
BRD4	2.090592334	0.348432056	0.348432056	0.348432056
C11orf57	2.090592334	0.348432056	0.348432056	0.348432056
CACNA1I	2.090592334	0.348432056	0.696864111	1.393728223
CARD11	2.090592334	0.348432056	1.742160279	1.393728223
CC2D2A	2.090592334	0.348432056	0	1.393728223
CCDC88A	2.090592334	0.348432056	1.393728223	0.696864111
CEP83	2.090592334	0.348432056	0.348432056	0
CNTN2	2.090592334	0.348432056	0	0
DAGLB	2.090592334	0.348432056	0.348432056	0.348432056
DENND4B	2.090592334	0.348432056	1.045296167	0.696864111
DYRK1A	2.090592334	0.348432056	0.348432056	0.348432056
EPAS1	2.090592334	0.348432056	0.348432056	0.348432056
FES	2.090592334	0.348432056	1.045296167	0
GNAS	2.090592334	0.348432056	1.393728223	1.742160279
GPRC6A	2.090592334	0.348432056	0.348432056	0.348432056
HCFC1	2.090592334	0.348432056	0.696864111	1.045296167
IL1RAPL2	2.090592334	0.348432056	0.348432056	0
KCND2	2.090592334	0.348432056	2.090592334	1.393728223
KCNT1	2.090592334	0.348432056	0.696864111	0.348432056
LNPEP	2.090592334	0.348432056	1.742160279	0
MAGI1	2.090592334	0.348432056	1.393728223	0.696864111
MED12	2.090592334	0.348432056	0.348432056	0.348432056
MVK	2.090592334	0.348432056	0.348432056	0.696864111
MYO10	2.090592334	0.348432056	0.696864111	0.696864111
OCA2	2.090592334	0.348432056	1.393728223	0.696864111
PLXNA1	2.090592334	0.348432056	1.045296167	1.393728223
PLXNA3	2.090592334	0.348432056	1.045296167	0.348432056
PLXNB2	2.090592334	0.348432056	1.045296167	0.696864111
PLXNB3	2.090592334	0.348432056	0.696864111	0.696864111
POU4F2	2.090592334	0.348432056	0	0
PRICKLE2	2.090592334	0.348432056	0.696864111	1.393728223
PTPN23	2.090592334	0.348432056	1.393728223	0.348432056
RASGRF2	2.090592334	0.348432056	0.348432056	1.045296167
RPTOR	2.090592334	0.348432056	1.393728223	0.696864111
SEMA4A	2.090592334	0.348432056	0.696864111	0.348432056
SH3TC1	2.090592334	0.348432056	0.348432056	1.045296167
SIN3B	2.090592334	0.348432056	0.348432056	0
SLC8A1	2.090592334	0.348432056	1.045296167	0.348432056
SMO	2.090592334	0.348432056	0.696864111	0.696864111
TBL1X	2.090592334	0.348432056	0.348432056	0.348432056
TESPA1	2.090592334	0.348432056	0.696864111	1.045296167
TP53BP1	2.090592334	0.348432056	1.742160279	0
TRIM26	2.090592334	0.348432056	0.696864111	0
UBQLNL	0.348432056	2.090592334	#N/A	#N/A
WDR90	2.090592334	0.348432056	1.393728223	0.696864111
XDH	2.090592334	0.348432056	1.393728223	2.43902439
ZBED9	2.090592334	0.348432056	1.045296167	0.696864111
ZFYVE9	2.090592334	0.348432056	0	0
ZNF793	2.090592334	0.348432056	0	0.348432056
AKAP9	4.181184669	1.742160279	4.181184669	1.393728223
HERC2	4.181184669	1.742160279	2.787456446	0.696864111
SCN10A	4.181184669	1.742160279	1.393728223	1.742160279
SLIT2	4.181184669	1.742160279	1.045296167	0.696864111
UNC13C	4.181184669	1.742160279	1.393728223	0.696864111
AFF2	3.135888502	1.045296167	2.787456446	1.045296167
ATR	-3.135888502	-1.045296167	-1.393728223	-0.696864111
BCORL1	3.135888502	1.045296167	1.393728223	0.696864111
DCHS1	-1.045296167	-3.135888502	#N/A	#N/A
GREB1	3.135888502	1.045296167	1.045296167	1.393728223
ITPR3	3.135888502	1.045296167	2.090592334	1.393728223
LARP4B	3.135888502	1.045296167	2.787456446	1.045296167
MIA3	3.135888502	1.045296167	1.742160279	1.045296167
NAV2	3.135888502	1.045296167	1.742160279	0.696864111
NCOR1	-3.135888502	-1.045296167	-0.696864111	-0.348432056
PARD3B	3.135888502	1.045296167	0.348432056	1.045296167
PTPRM	3.135888502	1.045296167	1.742160279	1.393728223
STAB1	3.135888502	1.045296167	0.696864111	1.742160279
TRPM3	3.135888502	1.045296167	1.045296167	1.045296167
UBR5	3.135888502	1.045296167	3.484320557	1.393728223
FREM2	4.529616725	2.090592334	1.393728223	1.393728223
OBSCN	6.271777003	3.484320557	4.529616725	3.484320557
ADGRV1	4.87804878	2.43902439	2.43902439	2.090592334
ADGRG4	3.484320557	1.393728223	1.742160279	1.393728223
ATP10A	1.393728223	3.484320557	2.787456446	#N/A
GCN1L1	3.484320557	1.393728223	0.348432056	0.696864111
TCHH	3.484320557	1.393728223	2.090592334	2.090592334
ZNF804B	3.484320557	1.393728223	0.348432056	1.393728223
ABCA4	2.43902439	0.696864111	1.045296167	0.696864111
ADAMTS20	2.43902439	0.696864111	1.045296167	0.348432056
ADGRB1	2.43902439	0.696864111	1.393728223	1.045296167
AHDC1	2.43902439	0.696864111	1.045296167	0.348432056
ATAD5	2.43902439	0.696864111	0.348432056	0.348432056
BRWD3	2.43902439	0.696864111	1.045296167	0
CDH6	2.43902439	0.696864111	0.696864111	1.393728223
CDK12	-2.43902439	-0.696864111	-0.348432056	-0.696864111
CIT	2.43902439	0.696864111	0.696864111	0.696864111
COL4A2	2.43902439	0.696864111	1.393728223	0
COL5A1	2.43902439	0.696864111	1.045296167	0.696864111
CTCF	-2.43902439	-0.696864111	-1.393728223	-1.045296167
DGCR2	2.43902439	0.696864111	0.348432056	0.348432056
DLG2	2.43902439	0.696864111	0.696864111	0.348432056
FLNA	-2.43902439	-0.696864111	-1.045296167	-1.045296167
GBF1	0.696864111	2.43902439	#N/A	#N/A
GRIN3A	2.43902439	0.696864111	0.348432056	1.742160279
ITIH6	2.43902439	0.696864111	0.696864111	0
KAL1	2.43902439	0.696864111	1.045296167	0.696864111
KCNA4	2.43902439	0.696864111	0.696864111	0.696864111
KCNA5	2.43902439	0.696864111	1.045296167	0.348432056
KIF6	2.43902439	0.696864111	0.348432056	0.348432056
MYOF	2.43902439	0.696864111	1.742160279	0.696864111
PCNXL3	2.43902439	0.696864111	1.393728223	0
PHRF1	2.43902439	0.696864111	0.696864111	0
PI4KA	2.43902439	0.696864111	0.696864111	0
PPFIA4	2.43902439	0.696864111	0	0.348432056
PRDM2	2.43902439	0.696864111	1.393728223	1.393728223
PTCH1	-2.43902439	-0.696864111	-1.045296167	0
ROS1	2.43902439	0.696864111	1.742160279	0.696864111
SLC7A14	2.43902439	0.696864111	0.696864111	0.348432056
TLE4	-2.43902439	-0.696864111	-0.348432056	-0.348432056
TLL1	2.43902439	0.696864111	0.348432056	1.393728223
TRIP12	2.43902439	0.696864111	1.045296167	0.348432056
TRPC5	2.43902439	0.696864111	1.045296167	1.045296167
WDR62	2.43902439	0.696864111	1.045296167	0.348432056
WFIKKN2	2.43902439	0.696864111	1.045296167	0
WNK1	2.43902439	0.696864111	0.348432056	1.393728223
ZMYND8	2.43902439	0.696864111	0	0.696864111
NEB	5.226480836	2.787456446	2.43902439	1.045296167
FRY	3.832752613	1.742160279	2.43902439	0.696864111
MYO15A	3.832752613	1.742160279	1.393728223	1.393728223
NOS1	3.832752613	1.742160279	1.393728223	1.045296167
NRXN1	3.832752613	1.742160279	2.090592334	2.43902439
FAT4	-5.923344948	-3.484320557	-4.87804878	-4.87804878
ABCC1	1.742160279	0.348432056	0.696864111	0.696864111
ABCC5	1.742160279	0.348432056	0	0
ADAMTS14	1.742160279	0.348432056	2.090592334	0.696864111
ADD2	1.742160279	0.348432056	1.045296167	0
ADGRL4	1.742160279	0.348432056	1.045296167	0.696864111
ANKRD17	1.742160279	0.348432056	0.348432056	0.696864111
AP3B2	1.742160279	0.348432056	1.045296167	0.348432056
ARHGAP29	1.742160279	0.348432056	1.393728223	0.348432056
ARHGEF40	1.742160279	0.348432056	1.742160279	0.348432056
ASAP2	1.742160279	0.348432056	0	0
BACH2	1.742160279	0.348432056	0.696864111	0.348432056
C6orf165	1.742160279	0.348432056	0.696864111	0.348432056
CACNA2D4	1.742160279	0.348432056	0.696864111	0
CACNB2	1.742160279	0.348432056	0.696864111	0.348432056
CARM1	1.742160279	0.348432056	0.348432056	0
CDH20	1.742160279	0.348432056	1.393728223	0.348432056
CDH24	1.742160279	0.348432056	1.393728223	0
CFAP69	1.742160279	0.348432056	0	0.348432056
CHD1	1.742160279	0.348432056	0.348432056	1.045296167
CHRM3	1.742160279	0.348432056	0.348432056	0.696864111
CLCA4	1.742160279	0.348432056	1.045296167	0
COL28A1	1.742160279	0.348432056	0.348432056	0.348432056
CRYBG3	1.742160279	0.348432056	0.696864111	1.045296167
