,log2FC,t,B,PValue,FDR,,,NKG7
LAP3,1.345754808,12.56323644,48.23805698,6.55E-26,2.84E-23,,,NLRC5
NLRC5,1.561478432,12.5131574,47.91799962,9.06E-26,3.85E-23,,,CD247
CD247,2.000686559,12.42738345,47.36986642,1.58E-25,6.57E-23,,,CD3E
CD3E,2.261477576,12.39761722,47.17966653,1.92E-25,7.81E-23,,,CCL4
CCL4,2.290554352,12.22877397,46.10105322,5.75E-25,2.29E-22,,,THEMIS
THEMIS,2.602487722,12.06031126,45.02546621,1.72E-24,6.70E-22,,,CTSW
CTSW,2.681005845,12.03156503,44.84200492,2.07E-24,7.92E-22,,,CD3G
CD3G,2.137506491,11.99599983,44.61505888,2.61E-24,9.78E-22,,,CD3D
CD3D,2.241923845,11.79439955,43.3294462,9.63E-24,3.55E-21,,,AIM2
AIM2,3.141822216,11.78121474,43.24542072,1.05E-23,3.79E-21,,,UBASH3A
UBASH3A,2.083783915,11.69621933,42.70393537,1.82E-23,6.45E-21,,,APOL3
APOL3,1.793990539,11.69015153,42.66529143,1.89E-23,6.59E-21,,,KLRD1
KLRD1,2.354943352,11.66166833,42.48391382,2.27E-23,7.79E-21,,,TAP2
TAP2,1.271223277,11.50067176,41.45947988,6.45E-23,2.17E-20,,,BTN3A1
BTN3A1,1.308440711,11.49482804,41.42232221,6.69E-23,2.21E-20,,,CD6
CD6,1.890324311,11.46903433,41.25833464,7.91E-23,2.57E-20,,,IL12RB1
IL12RB1,1.820733766,11.46657342,41.24269101,8.04E-23,2.57E-20,,,KLRC4-KLRK1
KLRC4-KLRK1,3.333973339,11.33396232,40.40024972,1.89E-22,5.96E-20,,,UBD
UBD,3.072646536,11.18043729,39.4264026,5.09E-22,1.58E-19,,,CTLA4
CTLA4,2.140769942,11.17589063,39.3975878,5.25E-22,1.60E-19,,,ZAP70
ZAP70,2.126071307,11.15931412,39.29254581,5.84E-22,1.75E-19,,,PYHIN1
PYHIN1,2.297460227,11.14257425,39.18648975,6.50E-22,1.92E-19,,,PSMB9
PSMB9,1.670346632,11.13844473,39.16033029,6.68E-22,1.95E-19,,,FCRL6
FCRL6,2.844024348,11.12524505,39.07672249,7.27E-22,2.09E-19,,,IL21R
IL21R,2.235927905,11.08227391,38.80463438,9.59E-22,2.71E-19,,,ITK
ITK,2.263889663,11.04439782,38.56492984,1.22E-21,3.41E-19,,,TRAT1
TRAT1,2.572145193,11.0275419,38.45829233,1.36E-21,3.75E-19,,,TTC24
TTC24,3.045680225,11.0210254,38.41707262,1.42E-21,3.85E-19,,,TNFSF13B
TNFSF13B,1.75440245,10.95777645,38.01718195,2.14E-21,5.71E-19,,,CD8B
CD8B,2.781718511,10.92858675,37.83274731,2.58E-21,6.79E-19,,,EOMES
EOMES,2.457627469,10.90377895,37.67605915,3.02E-21,7.86E-19,,,ZBED2
ZBED2,2.779272209,10.7977522,37.00702468,5.96E-21,1.53E-18,,,ICOS
ICOS,2.230858966,10.76338315,36.79038451,7.43E-21,1.88E-18,,,PARP14
PARP14,1.175618419,10.74603954,36.68110588,8.31E-21,2.08E-18,,,PDCD1LG2
PDCD1LG2,1.937910173,10.61910252,35.88223871,1.87E-20,4.63E-18,,,OR2I1P
OR2I1P,2.971611117,10.59712563,35.74410224,2.15E-20,5.26E-18,,,CD244
CD244,2.192670513,10.57054447,35.57709617,2.55E-20,6.15E-18,,,C1QA
C1QA,1.913288968,10.49850741,35.12489461,4.04E-20,9.63E-18,,,GZMM
GZMM,2.406499661,10.48281196,35.02644768,4.47E-20,1.05E-17,,,HAVCR2
HAVCR2,1.720218334,10.45889364,34.87647974,5.21E-20,1.21E-17,,,ITGAL
ITGAL,2.036875608,10.36329207,34.27774236,9.57E-20,2.20E-17,,,PLAAT4
PLAAT4,2.40404603,10.35667293,34.23632926,9.99E-20,2.27E-17,,,PSTPIP1
PSTPIP1,1.51314299,10.34616991,34.1706276,1.07E-19,2.40E-17,,,CXCR3
CXCR3,2.046972563,10.33500156,34.10077923,1.15E-19,2.54E-17,,,SLAMF8
SLAMF8,1.83635272,10.31498615,33.97563962,1.30E-19,2.86E-17,,,APOL6
APOL6,1.166003285,10.2740839,33.72007195,1.69E-19,3.66E-17,,,CD226
CD226,1.810170551,10.25008212,33.57020418,1.97E-19,4.22E-17,,,GZMK
GZMK,2.86698048,10.24795764,33.5569425,1.99E-19,4.23E-17,,,MMP25
MMP25,1.488185646,10.16088026,33.01390005,3.46E-19,7.21E-17,,,ARHGAP9
ARHGAP9,1.732663142,10.16054251,33.01179577,3.47E-19,7.21E-17,,,SPN
SPN,1.79825831,10.13753761,32.86850414,4.02E-19,8.20E-17,,,TBC1D10C
TBC1D10C,1.918786906,10.13681395,32.86399786,4.03E-19,8.20E-17,,,DOK2
DOK2,1.636728665,10.12201184,32.7718399,4.43E-19,8.92E-17,,,IL2RA
IL2RA,1.866176294,10.07147116,32.45740781,6.10E-19,1.22E-16,,,ITGB7
ITGB7,1.790576576,10.06181717,32.39738849,6.48E-19,1.28E-16,,,GRAP2
GRAP2,1.867156012,10.04968969,32.32201054,7.00E-19,1.37E-16,,,C1QB
C1QB,1.973973114,10.0429017,32.27982939,7.31E-19,1.41E-16,,,LCP2
LCP2,1.462060238,10.03335815,32.22053634,7.76E-19,1.48E-16,,,BATF2
BATF2,1.890942733,10.03220075,32.21334651,7.82E-19,1.48E-16,,,TRIM22
TRIM22,1.764166905,9.988555241,31.94236102,1.03E-18,1.93E-16,,,CALHM6
CALHM6,2.094719047,9.983120616,31.90863854,1.07E-18,1.98E-16,,,HLA-DQA1
HLA-DQA1,2.301006408,9.960523918,31.76847127,1.23E-18,2.26E-16,,,KLRC4
KLRC4,3.74875045,9.941356325,31.64963566,1.39E-18,2.53E-16,,,PTPN22
PTPN22,1.55614866,9.921958448,31.52942983,1.57E-18,2.83E-16,,,FCGR3A
FCGR3A,2.098141014,9.890001453,31.33152444,1.92E-18,3.43E-16,,,CD7
CD7,1.946896404,9.867195992,31.19039141,2.21E-18,3.91E-16,,,TNFRSF9
TNFRSF9,1.728285066,9.866448178,31.18576491,2.22E-18,3.91E-16,,,PSMB10
PSMB10,1.246573928,9.818136825,30.8870671,3.02E-18,5.25E-16,,,KIR3DL2
KIR3DL2,3.118973131,9.815246442,30.86920849,3.07E-18,5.30E-16,,,HLA-DPA1
HLA-DPA1,2.095340352,9.812067972,30.84957146,3.13E-18,5.36E-16,,,ICAM1
ICAM1,1.538352367,9.800095689,30.77561984,3.38E-18,5.73E-16,,,CST7
CST7,1.981719771,9.787440064,30.69747284,3.66E-18,6.15E-16,,,NLRC3
NLRC3,1.641278847,9.779871197,30.65074858,3.83E-18,6.40E-16,,,DTHD1
DTHD1,2.625945764,9.776508385,30.62999225,3.92E-18,6.43E-16,,,FYB1
FYB1,1.61600266,9.726618161,30.32227565,5.36E-18,8.64E-16,,,BTN3A3
BTN3A3,1.224003546,9.683380725,30.05593317,7.03E-18,1.12E-15,,,SAMD9L
SAMD9L,1.805893751,9.683220612,30.05494748,7.03E-18,1.12E-15,,,GBP2
GBP2,1.369346834,9.674425849,30.00081129,7.43E-18,1.17E-15,,,KLRC1
KLRC1,2.311807596,9.640713386,29.79341867,9.18E-18,1.43E-15,,,ETV7
ETV7,1.615571218,9.628220799,29.71661723,9.92E-18,1.54E-15,,,GNGT2
GNGT2,1.438984145,9.572689951,29.3755626,1.40E-17,2.14E-15,,,HCST
HCST,1.793598017,9.572418617,29.37389751,1.41E-17,2.14E-15,,,ZBTB32
ZBTB32,1.487615324,9.56303428,29.31631679,1.49E-17,2.26E-15,,,SLAMF7
SLAMF7,2.120349993,9.520026146,29.05263166,1.95E-17,2.91E-15,,,TRAF3IP3
TRAF3IP3,1.776458092,9.498548492,28.9210787,2.23E-17,3.30E-15,,,SIT1
SIT1,2.057507786,9.45789963,28.67233621,2.87E-17,4.22E-15,,,IL9R
IL9R,2.026946493,9.444053725,28.5876803,3.13E-17,4.53E-15,,,STX11
STX11,1.48407739,9.407129201,28.36209768,3.94E-17,5.61E-15,,,CD101
CD101,1.240778266,9.395086112,28.28857986,4.25E-17,6.01E-15,,,GFI1
GFI1,1.65582018,9.393947584,28.2816311,4.28E-17,6.01E-15,,,KIR2DL4
KIR2DL4,2.714889512,9.368800087,28.12821334,5.00E-17,6.97E-15,,,TYMP
TYMP,1.517660387,9.341889025,27.96417436,5.91E-17,8.16E-15,,,CXCL13
CXCL13,2.972261763,9.341162899,27.95975017,5.93E-17,8.16E-15,,,RASAL3
RASAL3,1.591215944,9.305051467,27.73986116,7.42E-17,1.01E-14,,,C1QC
C1QC,1.787966833,9.303452318,27.7301297,7.50E-17,1.01E-14,,,STAT4
STAT4,1.515477342,9.288993939,27.64216823,8.20E-17,1.10E-14,,,SELPLG
SELPLG,1.438015645,9.269627104,27.52441137,9.25E-17,1.23E-14,,,FOXP3
FOXP3,1.514517834,9.257047705,27.44796544,9.99E-17,1.32E-14,,,BTN2A2
BTN2A2,1.143225283,9.250983553,27.41112476,1.04E-16,1.36E-14,,,CIITA
CIITA,1.958996634,9.232746832,27.30037952,1.16E-16,1.51E-14,,,KCNJ10
KCNJ10,2.357789749,9.204664703,27.12998164,1.38E-16,1.79E-14,,,FCGR1A
FCGR1A,1.805477669,9.198598532,27.09319475,1.43E-16,1.84E-14,,,S1PR4
S1PR4,1.527063828,9.177333291,26.96429781,1.64E-16,2.07E-14,,,SLFN12L
SLFN12L,1.798059148,9.173552383,26.94139026,1.67E-16,2.11E-14,,,PTPN7
PTPN7,1.640755324,9.172389736,26.93434669,1.69E-16,2.11E-14,,,APOL2
APOL2,1.169965881,9.165486417,26.89253079,1.76E-16,2.19E-14,,,MICB
MICB,1.405431036,9.148365891,26.78886942,1.96E-16,2.42E-14,,,IGFLR1
IGFLR1,1.239651776,9.141399075,26.7467047,2.04E-16,2.51E-14,,,LILRB4
LILRB4,1.892356328,9.121642374,26.62718954,2.31E-16,2.81E-14,,,CLEC2D
CLEC2D,1.607070789,9.118916301,26.6107052,2.34E-16,2.84E-14,,,KLHDC7B
KLHDC7B,2.21435038,9.115046209,26.58730584,2.40E-16,2.89E-14,,,KIR2DL3
KIR2DL3,2.539440825,9.109633432,26.55458453,2.48E-16,2.97E-14,,,SLAMF6
SLAMF6,1.991188159,9.072719327,26.33160205,3.12E-16,3.71E-14,,,CORO1A
CORO1A,1.595402912,9.04810498,26.1830839,3.62E-16,4.29E-14,,,MCUB
MCUB,1.027387295,9.045811883,26.16925465,3.68E-16,4.32E-14,,,RNF213
RNF213,1.146627129,9.019179975,26.00872848,4.33E-16,5.06E-14,,,CD74
CD74,1.747304012,9.013581738,25.97500485,4.48E-16,5.21E-14,,,IFIT3
IFIT3,1.685535863,9.007382998,25.93767205,4.65E-16,5.37E-14,,,MYO1G
MYO1G,1.547720568,9.005273247,25.92496776,4.71E-16,5.41E-14,,,C19orf38
C19orf38,1.496798838,8.992209351,25.84632325,5.11E-16,5.83E-14,,,TLR8
TLR8,2.095972321,8.987189172,25.81611214,5.27E-16,5.97E-14,,,MYO1F
MYO1F,1.322555799,8.986356459,25.81110148,5.29E-16,5.97E-14,,,SNX20
SNX20,1.645854574,8.972712801,25.72902642,5.76E-16,6.46E-14,,,BIN2
BIN2,1.399441842,8.968120073,25.70140788,5.92E-16,6.60E-14,,,GPR174
GPR174,2.8737369,8.962557012,25.66796069,6.13E-16,6.79E-14,,,CD86
CD86,1.489210602,8.948217383,25.5817783,6.69E-16,7.37E-14,,,KLRC3
KLRC3,3.471001307,8.941404635,25.54084972,6.97E-16,7.65E-14,,,CD300LF
CD300LF,1.614539118,8.937210537,25.5156584,7.15E-16,7.80E-14,,,ACAP1
ACAP1,1.431344588,8.909051263,25.34662919,8.50E-16,9.16E-14,,,HLA-DPB1
HLA-DPB1,1.733593606,8.908242977,25.34178009,8.54E-16,9.16E-14,,,FAM78A
FAM78A,1.28389887,8.890776372,25.23703132,9.50E-16,1.01E-13,,,SP140
SP140,1.687753392,8.882585023,25.18793181,9.99E-16,1.06E-13,,,HLA-DRA
HLA-DRA,1.806804719,8.848125898,24.98155569,1.23E-15,1.30E-13,,,SEPTIN1
SEPTIN1,1.476288527,8.845355385,24.96497536,1.25E-15,1.32E-13,,,XCL2
XCL2,2.751046083,8.83823513,24.9223721,1.31E-15,1.36E-13,,,IL18RAP
IL18RAP,1.716717553,8.837742792,24.9194267,1.31E-15,1.36E-13,,,MAP4K1
MAP4K1,1.794605435,8.83667899,24.91306273,1.32E-15,1.36E-13,,,HK3
HK3,1.591215348,8.836577622,24.91245633,1.32E-15,1.36E-13,,,CYBB
CYBB,1.630274417,8.823947596,24.83692098,1.43E-15,1.45E-13,,,GPR25
GPR25,2.471655049,8.823478744,24.8341177,1.43E-15,1.45E-13,,,AOAH
AOAH,1.780683531,8.810807014,24.75837306,1.55E-15,1.56E-13,,,CLEC12A
CLEC12A,2.005594091,8.804433632,24.72029119,1.61E-15,1.61E-13,,,EPSTI1
EPSTI1,1.578333021,8.788960288,24.62787686,1.77E-15,1.76E-13,,,P2RY10
P2RY10,2.160811042,8.767614553,24.50048586,2.01E-15,1.99E-13,,,RTP5
RTP5,2.753206344,8.760186729,24.45618299,2.11E-15,2.08E-13,,,JAK2
JAK2,1.334569857,8.741616795,24.34548324,2.36E-15,2.30E-13,,,PRKCQ
PRKCQ,2.053475025,8.741427619,24.34435596,2.36E-15,2.30E-13,,,HLA-DOA
HLA-DOA,2.297760516,8.735269659,24.30766609,2.45E-15,2.38E-13,,,LTA
LTA,1.801280128,8.728590971,24.26788433,2.55E-15,2.47E-13,,,HLA-DRB1
HLA-DRB1,1.776965234,8.677411852,23.96340612,3.48E-15,3.35E-13,,,IFIH1
IFIH1,1.050031118,8.665590063,23.89316931,3.74E-15,3.58E-13,,,CYSLTR2
CYSLTR2,1.609730329,8.624140722,23.64718882,4.80E-15,4.57E-13,,,PTPRC
PTPRC,1.859111904,8.6141806,23.58814662,5.10E-15,4.83E-13,,,SLA
SLA,1.621550163,8.60357816,23.52532513,5.44E-15,5.13E-13,,,IL21
IL21,3.966420397,8.59350344,23.46565763,5.78E-15,5.42E-13,,,APOBEC3D
APOBEC3D,1.393393614,8.592589445,23.46024581,5.81E-15,5.43E-13,,,ARHGAP30
ARHGAP30,1.327647008,8.576994287,23.36793959,6.38E-15,5.93E-13,,,CD4
CD4,1.437753384,8.574784857,23.35486736,6.47E-15,5.99E-13,,,PLA2G2D
PLA2G2D,3.224064939,8.551161035,23.21517592,7.46E-15,6.87E-13,,,LILRB1
LILRB1,1.489480403,8.517920865,23.0188723,9.11E-15,8.31E-13,,,NCR1
NCR1,1.827993061,8.50973503,22.97057525,9.57E-15,8.69E-13,,,SLC15A3
SLC15A3,1.349948964,8.499227822,22.90860832,1.02E-14,9.22E-13,,,ADAMDEC1
ADAMDEC1,1.993261775,8.49326008,22.87342643,1.06E-14,9.51E-13,,,IL4I1
IL4I1,1.639519893,8.460184032,22.67860683,1.29E-14,1.15E-12,,,HLA-DMB
HLA-DMB,1.686316458,8.443077473,22.5779654,1.43E-14,1.27E-12,,,PIK3CD
PIK3CD,1.326975046,8.44110949,22.56639251,1.45E-14,1.28E-12,,,CD53
CD53,1.618540857,8.427858342,22.48849569,1.57E-14,1.38E-12,,,LCP1
LCP1,1.581808599,8.427841046,22.48839405,1.57E-14,1.38E-12,,,GIMAP4
GIMAP4,1.256491742,8.412266145,22.39689915,1.72E-14,1.50E-12,,,LCK
LCK,1.680875658,8.376883982,22.18929705,2.12E-14,1.83E-12,,,IGSF6
IGSF6,1.353971771,8.373432613,22.16906517,2.17E-14,1.86E-12,,,TAGAP
TAGAP,1.60123819,8.370624792,22.15260821,2.20E-14,1.89E-12,,,LAPTM5
LAPTM5,1.474581859,8.363794272,22.11258305,2.30E-14,1.96E-12,,,JAK3
JAK3,1.345951019,8.36295935,22.10769152,2.31E-14,1.96E-12,,,CD80
CD80,1.579867372,8.338617505,21.96516724,2.67E-14,2.26E-12,,,CD48
CD48,1.765221543,8.327436565,21.89975793,2.85E-14,2.40E-12,,,SASH3
SASH3,1.664885078,8.301469658,21.74798746,3.33E-14,2.79E-12,,,CD38
CD38,2.084487532,8.298160198,21.72865834,3.40E-14,2.83E-12,,,CD84
CD84,1.603410573,8.209032416,21.20929885,5.77E-14,4.73E-12,,,NCF1
NCF1,1.666229052,8.196773373,21.13804637,6.21E-14,5.07E-12,,,CLEC7A
CLEC7A,1.365497499,8.192735012,21.11458422,6.36E-14,5.17E-12,,,IKZF3
IKZF3,1.839347673,8.152270147,20.87975979,8.08E-14,6.54E-12,,,TNFSF14
TNFSF14,1.498599562,8.146376108,20.84559673,8.37E-14,6.75E-12,,,IKZF1
IKZF1,1.744528953,8.13399689,20.77387843,9.00E-14,7.23E-12,,,HLA-DQB1
HLA-DQB1,1.857662343,8.121139901,20.69944138,9.71E-14,7.77E-12,,,KLRK1
KLRK1,2.341644719,8.119624034,20.6906684,9.80E-14,7.81E-12,,,CYTH4
CYTH4,1.349472049,8.105695477,20.6100906,1.06E-13,8.41E-12,,,TNIP3
TNIP3,1.706327502,8.090814455,20.5240683,1.16E-13,9.14E-12,,,CD27
CD27,1.9149565,8.079098781,20.45639168,1.24E-13,9.76E-12,,,TIFAB
TIFAB,2.255229378,8.077055126,20.44459066,1.26E-13,9.84E-12,,,IFI16
IFI16,1.253155341,8.07520976,20.43393576,1.27E-13,9.90E-12,,,AIF1
AIF1,1.357541616,8.074321305,20.42880631,1.28E-13,9.92E-12,,,SMTNL1
SMTNL1,1.69507284,8.073601659,20.42465165,1.29E-13,9.92E-12,,,ITGB2
ITGB2,1.616960791,8.060277893,20.34775985,1.39E-13,1.07E-11,,,PARVG
PARVG,1.375928183,8.05668186,20.32701647,1.42E-13,1.09E-11,,,IL10RA
IL10RA,1.586215038,8.01972735,20.1140813,1.77E-13,1.35E-11,,,FCER1G
FCER1G,1.42448356,8.019134695,20.11066985,1.77E-13,1.35E-11,,,GIMAP5
GIMAP5,1.558381164,7.996461366,19.98024028,2.02E-13,1.53E-11,,,ABCD2
ABCD2,1.901455061,7.972099438,19.84027815,2.33E-13,1.75E-11,,,ZBP1
ZBP1,1.631433465,7.968834466,19.82153484,2.38E-13,1.77E-11,,,XAF1
XAF1,1.358081654,7.962985366,19.78796525,2.46E-13,1.82E-11,,,LPXN
LPXN,1.204423175,7.959593203,19.7685017,2.51E-13,1.85E-11,,,SIGLEC10
SIGLEC10,1.641546399,7.93087605,19.60387626,2.97E-13,2.18E-11,,,P2RY13
P2RY13,1.728010632,7.922916286,19.55829267,3.11E-13,2.28E-11,,,TMC8
TMC8,1.258115827,7.907553842,19.47037373,3.41E-13,2.47E-11,,,FCGR1B
FCGR1B,1.832286679,7.906755045,19.46580432,3.42E-13,2.47E-11,,,FPR3
FPR3,1.57946617,7.904870754,19.45502633,3.46E-13,2.49E-11,,,KIR3DL1
KIR3DL1,2.544423388,7.903941455,19.44971123,3.48E-13,2.50E-11,,,GRIN3A
GRIN3A,1.373578587,7.897136787,19.41080073,3.62E-13,2.58E-11,,,LAIR1
LAIR1,1.392830737,7.891317786,19.37753843,3.74E-13,2.66E-11,,,PLEK
PLEK,1.630749895,7.876945655,19.29543252,4.07E-13,2.87E-11,,,LILRB2
LILRB2,1.452971681,7.876183506,19.29108036,4.09E-13,2.87E-11,,,SAMD3
SAMD3,1.785016849,7.876029346,19.29020007,4.09E-13,2.87E-11,,,ABI3
ABI3,1.135137298,7.867536275,19.24171474,4.30E-13,3.00E-11,,,DPYD
DPYD,1.473754852,7.866064579,19.23331551,4.34E-13,3.01E-11,,,OAS2
OAS2,1.54149371,7.861418777,19.20680578,4.46E-13,3.09E-11,,,NFAM1
NFAM1,1.335608741,7.851991361,19.15303319,4.71E-13,3.24E-11,,,WAS
WAS,1.433812532,7.844445371,19.11001311,4.92E-13,3.37E-11,,,EVI2B
EVI2B,1.511359169,7.793709376,18.82125578,6.61E-13,4.51E-11,,,TFEC
TFEC,1.565089554,7.792346215,18.81350939,6.66E-13,4.53E-11,,,LAMP3
LAMP3,1.519130354,7.790214327,18.80139584,6.75E-13,4.57E-11,,,CD52
CD52,1.696188596,7.779136203,18.73847368,7.19E-13,4.84E-11,,,TCAF2
TCAF2,1.349447367,7.770463199,18.68924113,7.56E-13,5.07E-11,,,CLEC4A
CLEC4A,1.187941578,7.76477678,18.65697581,7.82E-13,5.23E-11,,,FMNL1
FMNL1,1.165430123,7.747755332,18.56045988,8.63E-13,5.75E-11,,,ZNF831
ZNF831,2.043568197,7.728047828,18.44883651,9.67E-13,6.40E-11,,,VAMP5
VAMP5,1.035420608,7.72431117,18.42768703,9.88E-13,6.52E-11,,,CMKLR1
CMKLR1,1.430825008,7.716231756,18.38197392,1.04E-12,6.80E-11,,,MS4A6A
MS4A6A,1.441287983,7.713707882,18.3676985,1.05E-12,6.88E-11,,,CCL8
CCL8,1.987867846,7.712631785,18.36161259,1.06E-12,6.90E-11,,,TNFAIP8L2
TNFAIP8L2,1.264264616,7.703069605,18.30755083,1.12E-12,7.27E-11,,,EVI2A
EVI2A,1.245781978,7.699030737,18.28472572,1.14E-12,7.42E-11,,,C16orf54
C16orf54,1.726150165,7.696973067,18.27309924,1.16E-12,7.48E-11,,,APOBEC3F
APOBEC3F,1.170419548,7.688362261,18.22446137,1.22E-12,7.83E-11,,,NELL2
NELL2,1.966275597,7.680722547,18.18133015,1.27E-12,8.15E-11,,,GAB3
GAB3,1.21247952,7.680310531,18.17900463,1.27E-12,8.15E-11,,,CCL3
CCL3,1.59966856,7.673265362,18.13924896,1.33E-12,8.46E-11,,,RAB33A
RAB33A,1.225036493,7.654013301,18.03069828,1.48E-12,9.34E-11,,,CD300A
CD300A,1.237527029,7.645313499,17.98168783,1.56E-12,9.78E-11,,,GATA3
GATA3,1.327270139,7.642213935,17.9642328,1.59E-12,9.93E-11,,,CX3CL1
CX3CL1,1.786253645,7.623179996,17.85711815,1.77E-12,1.10E-10,,,FUT7
FUT7,1.656969902,7.606042267,17.76078379,1.95E-12,1.21E-10,,,CCR1
CCR1,1.399322724,7.60509234,17.75544711,1.96E-12,1.22E-10,,,FAS
FAS,1.284392912,7.603227622,17.74497208,1.99E-12,1.23E-10,,,SIGLEC1
SIGLEC1,1.767798278,7.590209322,17.67187631,2.14E-12,1.32E-10,,,SLC1A3
SLC1A3,1.666934812,7.578701856,17.60731385,2.29E-12,1.40E-10,,,HLA-DMA
HLA-DMA,1.512011452,7.571405823,17.56640405,2.38E-12,1.45E-10,,,CD200R1
CD200R1,1.349720107,7.538053297,17.37963519,2.88E-12,1.74E-10,,,SAMSN1
SAMSN1,1.395511852,7.523481914,17.2981636,3.13E-12,1.88E-10,,,DBH
DBH,1.688381254,7.519842173,17.27782506,3.20E-12,1.92E-10,,,CEACAM21
CEACAM21,1.410791686,7.490518834,17.11414475,3.78E-12,2.25E-10,,,IPCEF1
IPCEF1,1.326082653,7.480301006,17.0571835,4.01E-12,2.38E-10,,,BTLA
BTLA,1.994900349,7.477148296,17.03961584,4.08E-12,2.42E-10,,,NCF2
NCF2,1.270429157,7.47363294,17.02003173,4.17E-12,2.46E-10,,,GPR65
GPR65,1.345013601,7.469436155,16.99665732,4.27E-12,2.50E-10,,,HCLS1
HCLS1,1.259185123,7.462988301,16.96075798,4.43E-12,2.59E-10,,,RHOH
RHOH,1.527429125,7.46063685,16.94766975,4.49E-12,2.61E-10,,,HCK
HCK,1.286517083,7.458383546,16.93512973,4.54E-12,2.64E-10,,,GPR18
GPR18,1.391370087,7.440244648,16.83425202,5.04E-12,2.92E-10,,,DOCK2
DOCK2,1.55751993,7.409693369,16.66462025,5.99E-12,3.45E-10,,,AGAP2
AGAP2,1.237335234,7.408581914,16.65845561,6.03E-12,3.46E-10,,,P2RX7
